,IP,Reliability,Risk,Type,Country,Locale,Coords
9165,72.20.57.166,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9166,72.20.57.202,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9167,72.20.57.200,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9168,72.20.57.199,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9169,72.20.57.196,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9170,72.20.57.197,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9171,72.20.57.194,6,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9172,72.20.57.204,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9173,72.20.57.201,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9174,72.20.57.162,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9175,72.20.57.192,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9176,72.20.57.191,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9177,72.20.57.190,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9178,72.20.57.195,6,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9179,72.20.57.189,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9180,72.20.57.193,6,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9181,72.20.57.198,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9182,72.20.57.185,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9183,72.20.57.184,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9184,72.20.57.183,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9185,72.20.57.182,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9186,72.20.57.181,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9187,72.20.57.180,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9188,72.20.57.179,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9189,72.20.57.178,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9190,72.20.57.169,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9191,72.20.57.170,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9192,72.20.57.171,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9193,72.20.57.172,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9194,72.20.57.173,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9195,72.20.57.174,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9196,72.20.57.188,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9197,72.20.57.187,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9198,72.20.57.176,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9199,66.2.49.45,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9200,66.2.49.42,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9201,66.2.49.114,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9202,66.2.49.113,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9203,66.2.49.112,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9204,66.2.49.111,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9205,66.2.49.110,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9206,66.2.49.109,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9207,66.2.49.105,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9208,66.2.49.43,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9209,66.2.49.104,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9210,66.2.49.103,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9211,66.2.49.102,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9212,66.2.49.101,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9213,66.2.49.100,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9214,66.2.49.99,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9215,66.2.49.98,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9216,66.2.49.97,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9217,66.2.49.96,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9218,66.2.49.95,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9219,66.2.49.94,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9220,66.2.49.93,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9221,66.2.49.92,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9222,66.2.49.91,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9223,66.2.49.90,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9224,66.2.49.89,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9225,66.2.49.88,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9226,66.2.49.87,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9227,66.2.49.86,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9228,66.2.49.85,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9229,66.2.49.84,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9230,66.2.49.83,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9231,66.2.49.82,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9232,66.2.49.81,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
9233,66.2.49.80,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
